source_id,respondent_id_text,usia,gender,jk,urutan_raw,urutan,F1,G1,F2,G2,F3,G3,F4,G4,F5,G5,F6,G6,F7,G7,F8,G8,F9,G9,F10,G10,F11,G11,F12,G12,F13,G13,F14,G14,F15,G15,F16,G16,formal_cuq_0_100,genz_cuq_0_100,diff_genz_minus_formal
08daa234-2367-4059-9937-90a2eff70606,66,17,Perempuan,P,Formal → Gen-Z,F→G,3,4,4,4,5,5,5,5,5,4,5,5,3,4,4,4,3,5,4,4,5,5,5,5,4,4,5,3,5,4,1,2,78.125,79.6875,1.5625
0974b85e-ffd6-4a77-a030-740093708a6f,362,17,Perempuan,P,Formal → Gen-Z,F→G,3,5,5,5,5,3,5,1,5,5,1,1,3,3,1,3,3,5,3,3,5,5,1,3,5,4,5,3,5,4,1,1,62.5,59.375,-3.125
09a28d11-6488-4f79-b198-bddafb3e2003,62,17,Perempuan,P,Gen-Z → Formal,G→F,3,3,5,3,4,4,5,5,4,3,2,5,3,3,2,3,3,3,3,3,4,4,3,5,4,4,3,5,4,3,2,3,59.375,67.1875,7.8125
0a436fad-6657-4455-a592-1f1c6723b55d,27,17,Perempuan,P,Formal → Gen-Z,F→G,3,3,2,5,5,3,5,5,4,5,5,5,5,5,5,5,3,5,3,3,4,5,3,5,4,4,3,5,3,5,5,5,71.875,89.0625,17.1875
0b209b64-c8f5-4a34-9b5d-b44b59e29be8,210,17,Laki-laki,L,Gen-Z → Formal,G→F,4,4,2,2,4,4,2,2,4,3,2,3,4,3,1,2,5,3,1,3,4,3,2,2,4,3,2,3,4,3,2,2,48.4375,45.3125,-3.125
0bd3b9e9-3492-4d44-bc1e-8adafe498dbd,81,17,Perempuan,P,Gen-Z → Formal,G→F,3,2,3,4,3,2,4,4,4,2,5,4,4,2,5,4,4,2,3,4,4,2,4,4,3,2,3,4,5,2,5,4,71.875,50.0,-21.875
0c8bcafb-6e9a-490b-815d-b10bebd5e9c4,445,17,Laki-laki,L,Gen-Z → Formal,G→F,4,4,3,4,4,4,4,4,4,4,2,2,4,5,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,2,64.0625,67.1875,3.125
0ccf4a13-b0b5-4b1b-a861-bdd4d134d6bb,215,17,Perempuan,P,Formal → Gen-Z,F→G,4,5,4,4,4,5,4,4,5,4,5,5,5,4,4,4,4,5,4,5,4,5,5,5,1,4,4,5,5,5,1,1,73.4375,84.375,10.9375
0d57c6b2-d82c-4dec-ac25-6c253d8fad79,318,17,Perempuan,P,Formal → Gen-Z,F→G,4,5,2,5,5,5,5,1,5,4,5,5,5,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,81.25,73.4375,-7.8125
0da46ff4-163e-4d78-a3bb-02b2f37c79bf,142,17,Perempuan,P,Formal → Gen-Z,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50.0,50.0,0.0
0e303234-a951-4a3c-8472-c8c0717c8586,426,19,Laki-laki,L,Formal → Gen-Z,F→G,3,4,2,4,5,4,5,2,5,4,5,5,5,5,4,5,4,4,4,3,4,4,5,4,3,3,4,5,5,5,2,2,76.5625,73.4375,-3.125
0fb4d9bc-dde5-41c3-bab7-5aec213bb1b3,557,17,Perempuan,P,Formal → Gen-Z,F→G,4,5,4,4,5,5,5,4,5,5,5,4,5,5,5,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,3,4,89.0625,87.5,-1.5625
1053746a-d5d2-49c8-95b4-640473cd259c,531,17,Perempuan,P,Formal → Gen-Z,F→G,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,50.0,50.0,0.0
10a1fd31-414f-4339-911a-e226ff4cb5e7,134,17,Laki-laki,L,Gen-Z → Formal,G→F,3,4,4,5,4,5,5,5,5,4,5,5,5,5,4,4,4,5,4,5,5,4,5,5,3,3,5,4,5,5,2,2,81.25,84.375,3.125
11266021-7aba-4d7c-bff5-c66bf7d1873f,60,17,Perempuan,P,Gen-Z → Formal,G→F,4,5,2,2,5,5,5,5,5,5,5,5,5,4,2,4,4,4,3,4,5,5,5,5,4,3,3,4,5,5,1,1,73.4375,78.125,4.6875
1173ecaf-a768-453b-98ea-7dcb60cdd8da,220,17,Perempuan,P,Gen-Z → Formal,G→F,4,5,3,3,5,3,4,4,5,4,3,3,4,5,3,3,5,4,3,4,5,4,4,4,5,3,4,4,5,5,1,1,73.4375,67.1875,-6.25
119e2175-efc6-4c68-b0de-a0fe8916a3fe,235,18,Perempuan,P,Formal → Gen-Z,F→G,5,5,4,5,5,3,5,5,5,5,5,5,5,5,4,3,5,4,5,4,5,4,5,5,5,4,5,5,5,3,2,2,92.1875,79.6875,-12.5
