Kode,JK,Usia,Urutan,F1,G1,F2,G2,F3,G3,F4,G4,F5,G5,F6,G6,F7,G7,F8,G8,F9,G9,F10,G10,F11,G11,F12,G12,F13,G13,F14,G14,F15,G15,F16,G16
191,P,17,F→G,4,4,3,3,4,5,2,1,5,4,1,1,5,5,1,1,5,5,1,1,5,5,1,1,4,4,1,1,5,5,4,4
152,P,17,F→G,3,4,3,2,5,5,1,1,5,5,1,1,4,4,2,1,4,4,2,1,5,5,1,1,5,4,1,1,4,4,2,1
7,P,18,F→G,4,3,2,3,5,4,1,1,5,4,1,1,4,4,1,2,4,4,1,3,5,4,1,1,4,3,1,3,5,4,3,3
501,P,17,F→G,5,5,1,1,5,5,1,1,5,5,1,1,4,5,1,1,4,5,1,1,5,5,1,1,5,5,1,1,5,5,2,1
375,P,17,G→F,3,4,4,3,4,4,3,3,4,4,3,3,4,4,3,3,4,4,4,3,4,4,3,3,4,4,4,3,4,4,3,3
229,L,17,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
49,P,19,F→G,5,5,1,1,5,5,1,1,4,4,1,1,5,4,1,1,4,5,1,1,5,5,1,1,4,5,1,1,5,5,1,4
142,P,17,F→G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
563,L,17,G→F,4,5,2,1,5,5,1,1,5,5,1,1,4,5,3,2,4,5,3,2,5,5,1,1,5,5,1,1,5,5,4,5
191,P,17,F→G,4,5,3,3,5,5,1,1,5,5,2,1,4,4,1,5,4,5,2,2,5,5,1,2,4,4,2,1,4,5,4,4
224,P,17,G→F,3,4,2,2,4,5,1,2,4,2,2,2,3,4,2,2,4,2,3,2,3,4,3,2,3,3,2,2,4,3,5,4
577,L,17,G→F,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,2,2
352,P,17,F→G,5,4,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,4,5,2,1,5,5,5,5
537,P,17,F→G,4,5,2,1,5,4,1,1,5,5,1,1,5,5,2,1,5,5,1,2,5,5,1,1,4,4,2,2,5,5,1,1
249,L,17,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
295,P,17,G→F,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2
5,P,18,F→G,4,4,2,2,5,5,1,1,5,5,1,2,4,4,2,2,4,4,2,1,5,5,1,2,4,4,3,4,5,5,4,3
33,P,17,F→G,3,4,2,1,4,4,1,1,3,4,1,1,4,4,3,3,3,4,4,2,4,4,1,2,4,4,1,1,3,5,4,2
402,P,17,F→G,3,4,4,5,4,5,1,2,3,4,1,2,4,3,2,4,3,3,4,3,3,4,2,2,2,4,3,2,3,5,2,2
423,P,18,G→F,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,4,1
291,P,18,G→F,2,3,3,3,4,3,3,3,3,3,2,2,3,3,2,3,2,3,3,3,2,4,3,2,3,4,2,2,3,3,3,3
336,P,17,F→G,4,3,2,2,3,5,2,2,4,4,4,1,4,4,1,1,4,4,2,1,5,4,2,2,4,4,2,1,4,5,4,5
212,P,17,F→G,5,5,2,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1
221,P,18,F→G,3,5,2,2,4,5,2,1,5,5,1,2,5,5,5,3,5,5,1,3,5,5,2,2,5,4,1,1,5,5,5,5
9,P,18,F→G,2,3,3,3,3,4,1,1,5,5,1,2,3,1,2,1,5,5,1,1,5,5,1,1,3,5,2,1,5,5,2,2
147,L,17,F→G,1,5,5,1,5,5,1,1,5,5,1,3,3,3,3,1,5,4,2,3,4,5,1,2,4,3,3,2,5,5,3,2
543,P,17,G→F,4,4,2,2,5,5,1,1,5,5,1,1,5,5,2,1,5,5,1,1,5,4,2,1,5,4,2,1,5,5,1,1
8,P,17,F→G,2,3,3,3,3,4,1,2,5,5,1,1,3,3,2,5,5,4,1,3,5,3,1,3,4,4,1,1,5,4,2,2
207,L,17,G→F,4,4,3,3,4,4,2,2,4,4,2,3,4,4,2,2,5,4,3,2,4,5,1,1,4,4,2,2,4,5,3,2
159,P,17,F→G,3,5,4,2,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,3,1,5,5,5,5,3
194,P,17,F→G,3,3,3,3,5,5,1,2,4,3,2,4,3,3,2,1,5,5,2,1,5,5,1,1,3,4,1,1,5,5,3,3
47,P,17,F→G,4,4,2,2,4,4,1,2,4,4,2,2,4,4,2,2,4,5,2,2,4,5,2,2,4,5,2,2,4,4,4,4
86,P,16,F→G,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,1,1,5,5,4,4
